Date,CM,RY,MFC,BB,AC,WFG,PUMA,BNS,CSU,CNR
2016-12-09,0.002771709,0.009681284,0.004505058,-0.003879733,0.002035969,-0.02639695,0,0.009147792,-0.002164401,-0.005115608
2016-12-12,-0.005551305,0,-0.006560002,-0.00878483,-0.017094433,-0.003970374,0,-0.004432721,0.023704812,-0.023405832
2016-12-13,0.005193738,0.009917169,0.003285352,0.00781254,-0.010398707,0.00969975,0,0.007290671,-0.007101229,0.003790927
2016-12-14,-0.005373109,-0.00582846,-0.000820199,-0.00487568,-0.029705154,-0.023722827,0,-0.006506973,-0.030989038,-0.010740912
2016-12-15,0.002152965,0.009003204,0.025922646,-0.00588237,0.024114644,-0.017295761,0,-0.00156801,0.016777082,0.007620113
2016-12-16,-0.006472614,0.001528953,-0.018156574,-0.005917177,-0.003510007,-0.004119882,0,-0.005638975,0.022260979,-0.000781974
2016-12-19,0.002791615,0.001744757,-0.004079869,0.022494836,-0.009894074,0.011083974,0,0,0.021921602,0.005459735
2016-12-20,0.003501382,0.001741818,0.00935906,-0.031436773,0.009190591,0.012576335,0,-0.001974518,-0.005390787,0.008298352
2016-12-21,0.002595807,0.000108697,-0.003245368,-0.024243612,0.000703482,0,0.15415068,-0.000922836,-0.004896514,0.004507759
2016-12-22,0.002978606,0.000652147,-0.006931712,-0.010277583,-0.007765659,-0.022010359,0,0.004211537,0.011031628,0.003722866
2016-12-23,-0.000901694,-0.003701725,-0.000409261,-0.017718025,-0.009971593,-0.001237201,-0.15415068,-0.001314183,-0.0088578,0.000218616
2016-12-28,-0.000361004,0.001308164,-0.011113447,-0.001052078,0.001430615,-0.005378408,0.15415068,0.002364287,0.004690488,0.002400656
2016-12-29,-0.003797351,-0.004257389,-0.00539537,-0.011646505,-0.018031502,-0.003949196,0.133531393,0.012781868,0.004846798,0.001089674
2016-12-30,-0.007637686,-0.005925004,-0.005006129,-0.016103408,-0.005107636,-0.000207868,0,-0.008391544,-0.013496048,-0.016246332
2017-01-03,0.011615465,0.00690871,0.00708482,0.009693129,0.011636495,-0.008787017,0,0.013287641,-0.007336952,0.001548154
2017-01-04,0.007371133,0.014538932,0.011150049,0.014893892,-0.007985523,0.007536408,0,0.008411988,0.010266694,0.013390783
2017-01-05,0.001342027,-0.000215118,-0.00246701,-0.003172927,0.001456664,-0.039346201,0,0.002222893,-0.022760577,0.002830718
2017-01-06,-0.001073344,-0.001078383,0.002056349,0.003172927,-0.013187004,-0.014419965,0,0.000261015,0.003071924,-0.005778747
2017-01-09,-0.003228692,-0.002159365,-0.003704296,-0.004232811,-0.004434597,-0.004853164,0,-0.003138663,0.014921747,-0.00504297
2017-01-10,-0.005764903,0.004851999,0.012295037,-0.002123143,0.006644543,0.023818116,0,0.007957897,-0.015222231,0.007663759
2017-01-11,0.002706118,0.009847099,0.013352255,0.008465659,0.046018184,0.009456641,0,0.009312007,-0.015795983,0.013110551
2017-01-12,-0.001262046,-0.001492136,-0.018252258,-0.001054296,-0.016295082,-0.012917438,0,-0.00619849,-0.002051494,-0.002370913
2017-01-13,0.002522604,0.007968074,0.004085152,0.006309169,-0.012217184,0.018037871,0,0.005554832,0.00414969,0.005487243
2017-01-16,-0.00423797,-0.002436904,-0.009420734,-0.008421102,-0.001447178,0.002550522,0,-0.003354866,0.005662791,0.001929887
2017-01-17,-0.00253354,-0.007346321,-0.009510041,-0.013837368,-0.018268685,-0.00874113,0,-0.00869769,0.013521823,-0.016848846
2017-01-18,0.003707522,-0.003103518,0.010333058,0.022258471,-0.002954212,-0.002787821,-0.133531393,-0.002872342,-0.005669939,0.007271136
2017-01-19,0.004862215,-0.000107246,0.007781806,-0.010537505,0.008836582,-0.036295931,0,0.003393925,-0.014309324,-0.009124403
2017-01-20,0.004481252,0.009496163,0.014581218,0.004228336,-0.005145179,-0.010745407,0,0.008434424,0.008723917,0.019558356
2017-01-23,-0.00600923,-0.00085032,-0.005645122,-0.002111933,-0.005171788,-0.025762356,0.133531393,0.001420315,-0.00058686,-0.002463876
2017-01-24,0.006724076,0.001286071,0.011258389,0.002111933,0.016164937,0.025311995,0,0.005404678,0.025609173,0.005776025
2017-01-25,0.004458156,0.006511088,0.014685666,0.009448889,0.016624886,0.022928102,0.117783036,0.004226027,-0.019320187,-0.025711741
2017-01-26,0.005500274,0.003928929,0.003932542,0.001044387,0.000716589,0.002637384,0,0.004590289,-0.000116718,0.00578326
2017-01-27,0.00114938,0.001164858,-0.01263812,-0.012605209,-0.010079279,-0.002197229,0,0.001271579,0.000416596,0.004992333
2017-01-30,-0.008074261,-0.004349458,-0.011191555,-0.020289003,-0.021207376,-0.01999636,-0.117783036,-0.005861868,-0.013272085,-0.009354109
2017-01-31,-0.012911412,-0.005329713,0.002809639,-0.009756175,-0.011896051,-0.002696382,0,-0.006281567,-0.007289872,-0.01176156
2017-02-01,0.010235429,0.001388645,0.001201663,-0.003273325,0.01115668,0.005833543,0,0.00167033,-0.017940208,-0.003544368
2017-02-02,-0.003042026,0.000746809,-0.01411027,-0.007679687,0.003691403,0.008465044,0,-0.002056139,0.0010905,-0.004671417
2017-02-03,0.011403534,0.008919326,0.008087407,0.003298519,0.005878048,0.000221739,0,0.008582738,0.019280013,0.007330745
2017-02-06,0.003537076,0.000739517,-0.007681355,0.007654493,-0.011049836,0.030792007,0,-0.00217073,-0.002702526,-0.006884966
2017-02-07,0.005369698,0.00642235,0.004858511,0.024745749,-0.008928631,0.055017543,0,0.010554093,0.004127041,0.013832903
2017-02-08,-0.000438868,0.001468368,-0.007296562,0.013720532,-0.005245422,0.020348857,0,0.005424092,-0.010923855,0.001976315
2017-02-09,0.006566,0.007829254,-0.005302707,0.007310738,0.008975378,0.032571251,0,0.004268081,0.001130263,0.004705576
2017-02-10,0.004353187,0.006942956,-0.001637494,0.004153692,0.011843218,0.012660888,0,0.005621146,0.014848685,0.008479165
2017-02-13,0.003209785,0.002886975,0.007346966,0,0.02614528,0.001904466,0,0.002860645,-0.007957771,0.011623026
